epoch,step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,1.628413200378418,,
0,99,,1.2522598505020142,,
0,149,,1.1628752946853638,,
0,199,,1.0329160690307617,,
0,249,,1.0893402099609375,,
0,299,,0.8416077494621277,,
0,349,,0.8899915814399719,,
0,399,,0.9053975343704224,,
0,449,,0.6656514406204224,,
0,499,,0.5540974736213684,,
0,549,,0.7046199440956116,,
0,599,,0.6794834733009338,,
0,649,,0.5960370898246765,,
0,699,,0.5947563648223877,,
0,749,,0.619939923286438,,
0,799,,0.591934084892273,,
0,849,,0.6024167537689209,,
0,899,,0.488506942987442,,
0,949,,0.6461449861526489,,
0,999,,0.4906243681907654,,
0,1049,,0.4844157099723816,,
0,1099,,0.5976769924163818,,
0,1149,,0.507134735584259,,
0,1199,,0.5963073968887329,,
0,1249,,0.40498173236846924,,
0,1299,,0.45430076122283936,,
0,1349,,0.5716620683670044,,
0,1349,,,0.8451967835426331,0.436850905418396
0,1349,0.7494810819625854,,,
1,1399,,0.3180910646915436,,
1,1449,,0.41308340430259705,,
1,1499,,0.40257832407951355,,
1,1549,,0.3890831172466278,,
1,1599,,0.34935683012008667,,
1,1649,,0.3649028539657593,,
1,1699,,0.44191497564315796,,
1,1749,,0.3144937753677368,,
1,1799,,0.36823445558547974,,
1,1849,,0.3339367210865021,,
1,1899,,0.31246790289878845,,
1,1949,,0.2529445290565491,,
1,1999,,0.3252072334289551,,
1,2049,,0.28169628977775574,,
1,2099,,0.3814341723918915,,
1,2149,,0.3447187840938568,,
1,2199,,0.300189733505249,,
1,2249,,0.2785581052303314,,
1,2299,,0.2451220452785492,,
1,2349,,0.24520985782146454,,
1,2399,,0.269410640001297,,
1,2449,,0.3267483711242676,,
1,2499,,0.32472917437553406,,
1,2549,,0.24873945116996765,,
1,2599,,0.27350834012031555,,
1,2649,,0.24989363551139832,,
1,2699,,0.2573668956756592,,
1,2699,,,0.8915508985519409,0.31044164299964905
1,2699,0.3350416421890259,,,
2,2749,,0.23720116913318634,,
2,2799,,0.2061547040939331,,
2,2849,,0.25596708059310913,,
2,2899,,0.24554310739040375,,
2,2949,,0.2792729437351227,,
2,2999,,0.22388722002506256,,
2,3049,,0.2536259889602661,,
2,3099,,0.20958314836025238,,
2,3149,,0.2198401540517807,,
2,3199,,0.18442364037036896,,
2,3249,,0.18473781645298004,,
2,3299,,0.2016177624464035,,
2,3349,,0.23928502202033997,,
2,3399,,0.20593048632144928,,
2,3449,,0.21829737722873688,,
2,3499,,0.24180281162261963,,
2,3549,,0.2530258297920227,,
2,3599,,0.17531955242156982,,
2,3649,,0.23779146373271942,,
2,3699,,0.23830877244472504,,
2,3749,,0.20544308423995972,,
2,3799,,0.2148977816104889,,
2,3849,,0.24944354593753815,,
2,3899,,0.23968467116355896,,
2,3949,,0.20048286020755768,,
2,3999,,0.22516238689422607,,
2,4049,,0.2254565954208374,,
2,4049,,,0.9175694584846497,0.2325095236301422
2,4049,0.22458891570568085,,,
3,4099,,0.2308908849954605,,
3,4149,,0.15537777543067932,,
3,4199,,0.13749824464321136,,
3,4249,,0.1590544432401657,,
3,4299,,0.17759084701538086,,
3,4349,,0.15793108940124512,,
3,4399,,0.1785666048526764,,
3,4449,,0.21555553376674652,,
3,4499,,0.1131855919957161,,
3,4549,,0.17187948524951935,,
3,4599,,0.11784674972295761,,
3,4649,,0.14601437747478485,,
3,4699,,0.17871156334877014,,
3,4749,,0.1494925618171692,,
3,4799,,0.2408892810344696,,
3,4849,,0.15140603482723236,,
3,4899,,0.18272869288921356,,
3,4949,,0.1662018895149231,,
3,4999,,0.14673258364200592,,
3,5049,,0.21947988867759705,,
3,5099,,0.1690802425146103,,
3,5149,,0.14443032443523407,,
3,5199,,0.17751005291938782,,
3,5249,,0.14887209236621857,,
3,5299,,0.20913295447826385,,
3,5349,,0.23294436931610107,,
3,5399,,0.17647601664066315,,
3,5399,,,0.9284606575965881,0.20780915021896362
3,5399,0.16823960840702057,,,
4,5449,,0.08493867516517639,,
4,5499,,0.06500499695539474,,
4,5549,,0.10526217520236969,,
4,5599,,0.1081790179014206,,
4,5649,,0.11134146898984909,,
4,5699,,0.12232314795255661,,
4,5749,,0.1471594125032425,,
4,5799,,0.10975136607885361,,
4,5849,,0.20233891904354095,,
4,5899,,0.0769290030002594,,
4,5949,,0.12455721199512482,,
4,5999,,0.10230202972888947,,
4,6049,,0.11972016841173172,,
4,6099,,0.08577895164489746,,
4,6149,,0.14391975104808807,,
4,6199,,0.17157165706157684,,
4,6249,,0.190185546875,,
4,6299,,0.06597058475017548,,
4,6349,,0.09784512221813202,,
4,6399,,0.13390736281871796,,
4,6449,,0.1301698386669159,,
4,6499,,0.16002817451953888,,
4,6549,,0.12120958417654037,,
4,6599,,0.09572909772396088,,
4,6649,,0.1690785437822342,,
4,6699,,0.11344646662473679,,
4,6749,,0.15673239529132843,,
4,6749,,,0.9260647892951965,0.19402962923049927
4,6749,0.1358410120010376,,,
5,6799,,0.15998955070972443,,
5,6849,,0.11633974313735962,,
5,6899,,0.12077752500772476,,
5,6949,,0.10608465224504471,,
5,6999,,0.09468679130077362,,
5,7049,,0.13913370668888092,,
5,7099,,0.0621119849383831,,
5,7149,,0.07802186906337738,,
5,7199,,0.09123171120882034,,
5,7249,,0.12912346422672272,,
5,7299,,0.07612793892621994,,
5,7349,,0.1306120902299881,,
5,7399,,0.14518652856349945,,
5,7449,,0.09063341468572617,,
5,7499,,0.1321796178817749,,
5,7549,,0.12281947582960129,,
5,7599,,0.0776737704873085,,
5,7649,,0.08949767053127289,,
5,7699,,0.132676899433136,,
5,7749,,0.05976434424519539,,
5,7799,,0.1519594043493271,,
5,7849,,0.13126644492149353,,
5,7899,,0.09274660050868988,,
5,7949,,0.10470341145992279,,
5,7999,,0.10918138921260834,,
5,8049,,0.1230665072798729,,
5,8099,,0.12451273947954178,,
5,8099,,,0.9301041960716248,0.18891407549381256
5,8099,0.11377927660942078,,,
6,8149,,0.08750467002391815,,
6,8199,,0.19657044112682343,,
